AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Idaho,All,2023-24,31,,3.5,3.5,0,11,2,11,311,> 100%
State,Idaho,All,2023-24,32,,4.9,5.4,0,18,5,20,370,> 100%
State,Idaho,All,2023-24,33,,5.5,6.2,0,16,3,18,290,> 100%
State,Idaho,All,2023-24,34,,4.2,6.1,1,12,9,19,312,> 100%
State,Idaho,All,2023-24,35,,3.2,4.9,0,9,7,14,284,> 100%
State,Idaho,All,2023-24,36,,4.7,7.3,1,12,12,20,274,> 100%
State,Idaho,All,2023-24,37,,2.5,3.4,0,8,3,11,325,> 100%
State,Idaho,All,2023-24,38,,5.6,7.3,0,20,10,26,354,> 100%
State,Idaho,All,2023-24,39,,3.3,5,0,10,6,15,300,> 100%
State,Illinois,All,2023-24,40,,5.6,6.4,0,115,37,133,"2,063",> 100%
State,Illinois,All,2023-24,41,,4.7,5.4,0,100,30,114,"2,118",> 100%
State,Illinois,All,2023-24,42,,4.4,5.6,0,96,44,122,"2,193",> 100%
State,Illinois,All,2023-24,43,,6.1,7.2,0,130,49,153,"2,128",> 100%
State,Illinois,All,2023-24,44,,5.7,6.9,1,125,40,151,"2,198",> 100%
State,Illinois,All,2023-24,45,,6.3,7.8,5,143,57,183,"2,345",> 100%
State,Illinois,All,2023-24,46,,5.6,7.6,0,122,62,164,"2,170",> 100%
State,Illinois,All,2023-24,47,,5.8,8,1,135,79,187,"2,327",> 100%
State,Illinois,All,2023-24,48,,7.1,9.1,6,159,73,213,"2,340",> 100%
State,Illinois,All,2023-24,49,,5.5,7.6,5,130,75,186,"2,448",> 100%
State,Illinois,All,2023-24,50,,7.4,9.2,10,171,79,226,"2,456",> 100%
State,Illinois,All,2023-24,51,,6.4,8.8,10,147,85,215,"2,454",> 100%
State,Illinois,All,2023-24,52,,7,8.9,16,150,80,212,"2,373",> 100%
State,Illinois,All,2023-24,1,,7.9,9.6,29,164,81,236,"2,451",> 100%
State,Illinois,All,2023-24,2,,8.6,11,25,182,100,265,"2,411",> 100%
State,Illinois,All,2023-24,3,,8.1,9.6,12,187,73,236,"2,467",> 100%
State,Illinois,All,2023-24,4,,7.1,9,11,155,69,211,"2,354",> 100%
State,Illinois,All,2023-24,5,,7.6,8.7,17,154,44,195,"2,238",> 100%
State,Illinois,All,2023-24,6,,6,7.4,11,122,49,164,"2,211",> 100%
State,Illinois,All,2023-24,7,,6.8,7.8,14,136,35,171,"2,191",> 100%
State,Illinois,All,2023-24,8,,6.9,8.1,13,144,47,186,"2,290",> 100%
State,Illinois,All,2023-24,9,,6.5,7.5,10,139,42,173,"2,300",> 100%
State,Illinois,All,2023-24,10,,6.1,7,11,125,33,156,"2,226",> 100%
State,Illinois,All,2023-24,11,,6.5,7.7,7,136,39,169,"2,196",> 100%
State,Illinois,All,2023-24,12,,6.1,7,12,116,24,145,"2,085",> 100%
State,Illinois,All,2023-24,13,,6.3,7,4,136,24,154,"2,212",> 100%
State,Illinois,All,2023-24,14,,7.6,8.2,8,153,28,175,"2,125",> 100%
State,Illinois,All,2023-24,15,,6.2,6.6,7,126,15,141,"2,132",> 100%
State,Illinois,All,2023-24,16,,5,5.4,6,100,21,116,"2,130",> 100%
State,Illinois,All,2023-24,17,,5.7,5.9,3,115,10,124,"2,085",> 100%
State,Illinois,All,2023-24,18,,5.1,5.3,1,105,9,111,"2,086",> 100%
State,Illinois,All,2023-24,19,,4.9,5.2,7,96,10,109,"2,116",> 100%
State,Illinois,All,2023-24,20,,6,6.2,1,120,9,124,"2,010",> 100%
State,Illinois,All,2023-24,21,,5.2,5.3,1,103,6,106,"2,014",> 100%
State,Illinois,All,2023-24,22,,4.8,5.1,2,94,10,103,"2,005",> 100%
State,Illinois,All,2023-24,23,,5.7,5.8,1,115,3,118,"2,043",> 100%
State,Illinois,All,2023-24,24,,5.2,5.3,3,103,10,108,"2,031",> 100%
State,Illinois,All,2023-24,25,,4.4,4.5,0,87,6,89,"1,998",> 100%
State,Illinois,All,2023-24,26,,3.5,3.8,0,70,8,75,"1,978",> 100%
State,Illinois,All,2023-24,27,,4.8,5.2,0,94,12,101,"1,950",> 100%
State,Illinois,All,2023-24,28,,5,5.3,0,101,14,107,"2,033",> 100%
State,Illinois,All,2023-24,29,,4.6,5,1,89,11,98,"1,966",> 100%
State,Illinois,All,2023-24,30,,4.7,5.2,0,95,22,105,"2,038",> 100%
State,Illinois,All,2023-24,31,,4.2,5,0,85,29,103,"2,047",> 100%
State,Illinois,All,2023-24,32,,4.3,5.5,0,90,31,114,"2,069",> 100%
State,Illinois,All,2023-24,33,,5.6,6.9,1,117,41,145,"2,103",> 100%
State,Illinois,All,2023-24,34,,5.9,7.3,1,118,47,149,"2,029",> 100%
State,Illinois,All,2023-24,35,,4.7,5.8,1,92,40,114,"1,969",> 100%
State,Illinois,All,2023-24,36,,6.4,7.5,2,123,39,147,"1,960",> 100%
State,Illinois,All,2023-24,37,,4.7,5.9,0,98,43,123,"2,075",> 100%
State,Illinois,All,2023-24,38,,6,7.3,0,127,42,154,"2,116",> 100%
State,Illinois,All,2023-24,39,,4.8,5.7,0,98,30,115,"2,021",> 100%
State,Indiana,All,2023-24,40,,5.8,7.8,0,77,38,104,"1,331",> 100%
State,Indiana,All,2023-24,41,,6.1,7,0,80,21,92,"1,318",> 100%
State,Indiana,All,2023-24,42,,6.9,7.5,1,91,20,99,"1,325",> 100%
State,Indiana,All,2023-24,43,,5.7,6.9,0,75,30,92,"1,326",> 100%
State,Indiana,All,2023-24,44,,5.6,7.3,0,77,36,101,"1,386",> 100%
State,Indiana,All,2023-24,45,,7.3,9.3,1,101,44,130,"1,394",> 100%
State,Indiana,All,2023-24,46,,6.7,8.6,2,90,39,118,"1,367",> 100%
State,Indiana,All,2023-24,47,,5.9,8.1,2,78,47,109,"1,352",> 100%
State,Indiana,All,2023-24,48,,6.4,8.8,3,85,54,122,"1,382",> 100%
State,Indiana,All,2023-24,49,,8,10.2,5,115,66,154,"1,503",> 100%
State,Indiana,All,2023-24,50,,8.3,11.2,7,110,74,159,"1,416",> 100%
State,Indiana,All,2023-24,51,,7.5,10,14,98,61,149,"1,493",> 100%
State,Indiana,All,2023-24,52,,8.5,11.1,8,114,59,159,"1,436",> 100%
State,Indiana,All,2023-24,1,,9.9,13.2,15,136,82,202,"1,529",> 100%
State,Indiana,All,2023-24,2,,9.6,12.3,17,122,66,178,"1,442",> 100%
State,Indiana,All,2023-24,3,,8.7,10.3,11,119,52,154,"1,502",> 100%
State,Indiana,All,2023-24,4,,9.1,10.9,15,123,50,166,"1,520",> 100%
State,Indiana,All,2023-24,5,,7,8.5,16,84,31,122,"1,431",> 100%
State,Indiana,All,2023-24,6,,7.6,9.4,15,92,40,132,"1,410",> 100%
State,Indiana,All,2023-24,7,,7.1,8.3,9,86,26,111,"1,344",> 100%
State,Indiana,All,2023-24,8,,8,9,9,104,28,127,"1,406",> 100%
State,Indiana,All,2023-24,9,,7.3,8.1,12,85,20,108,"1,332",> 100%
State,Indiana,All,2023-24,10,,8.9,9.4,15,110,15,132,"1,408",> 100%
State,Indiana,All,2023-24,11,,7.1,8,8,87,26,107,"1,338",> 100%
State,Indiana,All,2023-24,12,,6.7,7.7,3,85,22,102,"1,317",> 100%
State,Indiana,All,2023-24,13,,7,7.9,9,90,21,112,"1,415",> 100%
State,Indiana,All,2023-24,14,,6.3,6.9,4,80,12,92,"1,326",> 100%
State,Indiana,All,2023-24,15,,6.9,7.5,9,86,11,103,"1,369",> 100%
State,Indiana,All,2023-24,16,,6.5,7.1,4,81,12,93,"1,303",> 100%
State,Indiana,All,2023-24,17,,6.3,6.6,2,78,9,83,"1,264",> 100%
State,Indiana,All,2023-24,18,,6.4,6.8,1,79,6,84,"1,241",> 100%
State,Indiana,All,2023-24,19,,6.2,6.5,3,75,8,82,"1,267",> 100%
State,Indiana,All,2023-24,20,,5.5,5.8,3,71,5,78,"1,347",> 100%
State,Indiana,All,2023-24,21,,5,5.3,0,62,7,65,"1,237",> 100%
State,Indiana,All,2023-24,22,,6.2,6.3,1,75,5,78,"1,230",> 100%
State,Indiana,All,2023-24,23,,6,6.2,0,78,5,81,"1,302",> 100%
State,Indiana,All,2023-24,24,,6,6.3,2,75,9,82,"1,293",> 100%
State,Indiana,All,2023-24,25,,4.9,5,0,64,5,65,"1,294",> 100%
State,Indiana,All,2023-24,26,,5.4,5.9,0,65,9,71,"1,201",> 100%
State,Indiana,All,2023-24,27,,5.7,5.8,0,70,4,72,"1,236",> 100%
State,Indiana,All,2023-24,28,,5.7,6,0,70,6,73,"1,223",> 100%
State,Indiana,All,2023-24,29,,5.9,6.3,0,74,10,79,"1,247",> 100%
State,Indiana,All,2023-24,30,,5.9,6.4,0,69,14,75,"1,173",> 100%
State,Indiana,All,2023-24,31,,5.2,6,0,71,13,82,"1,359",> 100%
State,Indiana,All,2023-24,32,,5.7,6.1,2,70,16,77,"1,266",> 100%
State,Indiana,All,2023-24,33,,6.9,7.8,1,87,24,99,"1,273",> 100%
State,Indiana,All,2023-24,34,,6.5,7.7,1,81,23,96,"1,253",> 100%
State,Indiana,All,2023-24,35,,5.2,6.9,0,68,31,89,"1,297",> 100%
State,Indiana,All,2023-24,36,,5.6,6.7,0,69,23,83,"1,243",> 100%
State,Indiana,All,2023-24,37,,5.3,6.9,0,67,33,88,"1,269",> 100%
State,Indiana,All,2023-24,38,,6.8,8.1,3,83,33,103,"1,266",> 100%
State,Indiana,All,2023-24,39,,6.5,7.6,1,82,25,97,"1,273",> 100%
State,Iowa,All,2023-24,40,,5.1,6.1,0,30,11,36,588,> 100%
State,Iowa,All,2023-24,41,,5.7,6.9,1,32,13,40,577,> 100%
State,Iowa,All,2023-24,42,,7.6,9.5,1,46,16,59,619,> 100%
State,Iowa,All,2023-24,43,,5,6.8,0,32,14,44,645,> 100%
State,Iowa,All,2023-24,44,,6.1,6.7,2,37,13,43,641,> 100%
State,Iowa,All,2023-24,45,,4.9,7,1,31,23,46,659,> 100%
State,Iowa,All,2023-24,46,,4.9,7.3,1,30,18,46,631,> 100%
State,Iowa,All,2023-24,47,,5.2,7.7,0,33,23,49,638,> 100%
State,Iowa,All,2023-24,48,,6,8.2,0,40,23,55,672,> 100%
State,Iowa,All,2023-24,49,,7,9.4,4,46,27,67,716,> 100%
State,Iowa,All,2023-24,50,,7.3,10.9,2,48,34,75,686,> 100%
State,Iowa,All,2023-24,51,,6.1,9.6,0,43,34,68,706,> 100%
State,Iowa,All,2023-24,52,,7.3,10.4,7,41,31,69,662,> 100%
State,Iowa,All,2023-24,1,,9.1,11.9,9,54,29,83,695,> 100%
State,Iowa,All,2023-24,2,,8.5,12.6,14,46,44,89,708,> 100%
State,Iowa,All,2023-24,3,,7.5,10.9,8,47,38,80,735,> 100%
State,Iowa,All,2023-24,4,,7.1,9.9,8,46,28,75,756,> 100%
State,Iowa,All,2023-24,5,,5.1,7.1,4,28,19,44,623,> 100%
State,Iowa,All,2023-24,6,,6,7.7,3,34,15,47,612,> 100%
State,Iowa,All,2023-24,7,,7.7,8.7,10,43,9,60,691,> 100%
State,Iowa,All,2023-24,8,,7.1,7.7,7,41,6,52,676,> 100%
State,Iowa,All,2023-24,9,,6.6,7.6,9,36,11,52,684,> 100%
State,Iowa,All,2023-24,10,,7.7,8.5,8,39,8,52,610,> 100%
State,Iowa,All,2023-24,11,,5.1,6.4,12,21,10,41,645,> 100%
State,Iowa,All,2023-24,12,,6.1,6.8,7,31,6,43,628,> 100%
State,Iowa,All,2023-24,13,,5.7,6.2,8,28,4,39,631,> 100%
State,Iowa,All,2023-24,14,,5,5,2,28,1,30,597,> 100%
State,Iowa,All,2023-24,15,,7.8,7.9,2,47,5,50,629,> 100%
State,Iowa,All,2023-24,16,,5.7,6.2,4,31,3,38,612,> 100%
State,Iowa,All,2023-24,17,,4.7,5.2,2,28,3,33,635,> 100%
State,Iowa,All,2023-24,18,,4.8,5.3,1,28,3,32,606,> 100%
State,Iowa,All,2023-24,19,,4.2,4.8,2,23,4,29,598,> 100%
State,Iowa,All,2023-24,20,,3.9,3.9,0,24,0,24,621,> 100%
State,Iowa,All,2023-24,21,,4.8,5.4,0,28,5,32,589,> 100%
State,Iowa,All,2023-24,22,,5.3,5.3,0,29,1,29,548,> 100%
State,Iowa,All,2023-24,23,,6.1,6.4,1,37,3,40,628,> 100%
State,Iowa,All,2023-24,24,,5.3,6.2,0,30,5,35,569,> 100%
State,Iowa,All,2023-24,25,,4.9,4.9,0,28,1,28,572,> 100%
State,Iowa,All,2023-24,26,,3.8,4.5,0,23,5,27,602,> 100%
State,Iowa,All,2023-24,27,,6.1,6.6,0,33,3,36,542,> 100%
State,Iowa,All,2023-24,28,,3.9,4,0,23,1,24,596,> 100%
State,Iowa,All,2023-24,29,,3.3,3.6,1,17,3,20,550,> 100%
State,Iowa,All,2023-24,30,,5.4,5.9,0,31,5,34,576,> 100%
State,Iowa,All,2023-24,31,,5.1,6.2,0,31,8,38,609,> 100%
State,Iowa,All,2023-24,32,,6.7,7.9,1,38,14,46,581,> 100%
State,Iowa,All,2023-24,33,,5.2,6.8,0,30,14,39,573,> 100%
State,Iowa,All,2023-24,34,,4.3,6.5,1,24,16,38,582,> 100%
State,Iowa,All,2023-24,35,,4.6,7.1,1,27,18,43,609,> 100%
State,Iowa,All,2023-24,36,,4.7,6.4,0,29,11,40,622,> 100%
State,Iowa,All,2023-24,37,,5.2,7.2,0,33,20,46,638,> 100%
State,Iowa,All,2023-24,38,,6.1,7.9,0,36,12,47,593,> 100%
State,Iowa,All,2023-24,39,,7,9.1,2,42,18,57,625,> 100%
State,Kansas,All,2023-24,40,,3.5,4.8,0,19,7,26,539,> 100%
State,Kansas,All,2023-24,41,,3.9,6,0,20,12,31,515,> 100%
State,Kansas,All,2023-24,42,,3.5,4.6,0,19,8,25,546,> 100%
State,Kansas,All,2023-24,43,,8,10.1,1,44,19,57,566,> 100%
State,Kansas,All,2023-24,44,,6.7,7.9,1,36,11,44,556,> 100%
State,Kansas,All,2023-24,45,,4.3,5.6,0,24,11,31,556,> 100%
State,Kansas,All,2023-24,46,,6.2,8.1,0,33,16,43,533,> 100%
State,Kansas,All,2023-24,47,,4.8,5.6,0,28,13,33,587,> 100%
State,Kansas,All,2023-24,48,,5.1,8.7,0,30,31,51,583,> 100%
State,Kansas,All,2023-24,49,,5.8,8.6,1,33,21,50,584,> 100%
State,Kansas,All,2023-24,50,,3.6,6.2,0,22,20,38,610,> 100%
State,Kansas,All,2023-24,51,,7,9.3,3,38,22,54,583,> 100%
State,Kansas,All,2023-24,52,,7.4,9.9,3,42,21,60,606,> 100%
State,Kansas,All,2023-24,1,,8.7,11.8,4,50,30,73,620,> 100%
State,Kansas,All,2023-24,2,,6.5,9.5,1,39,22,58,613,> 100%
State,Kansas,All,2023-24,3,,6,8.4,6,33,27,55,652,> 100%
State,Kansas,All,2023-24,4,,7.1,8.4,3,40,14,51,606,> 100%
State,Kansas,All,2023-24,5,,6.5,8,6,37,11,53,665,> 100%
State,Kansas,All,2023-24,6,,6.6,7.7,1,35,12,42,548,> 100%
State,Kansas,All,2023-24,7,,7.5,8.8,6,39,11,53,599,> 100%
State,Kansas,All,2023-24,8,,6,6.8,1,37,8,43,630,> 100%
State,Kansas,All,2023-24,9,,5.9,7.1,3,32,9,42,590,> 100%
State,Kansas,All,2023-24,10,,6.1,7.7,2,33,13,44,570,> 100%
State,Kansas,All,2023-24,11,,7.3,8,2,41,7,47,590,> 100%
State,Kansas,All,2023-24,12,,6.6,7.3,4,33,10,41,561,> 100%
State,Kansas,All,2023-24,13,,5,5.7,4,26,6,34,601,> 100%
State,Kansas,All,2023-24,14,,6,6.4,2,31,4,35,547,> 100%
State,Kansas,All,2023-24,15,,5.8,5.8,3,27,2,30,520,> 100%
State,Kansas,All,2023-24,16,,5.3,5.7,4,23,3,29,511,> 100%
State,Kansas,All,2023-24,17,,7.1,7.3,2,37,3,40,551,> 100%
State,Kansas,All,2023-24,18,,5.2,5.7,2,26,3,31,542,> 100%
State,Kansas,All,2023-24,19,,4,4.6,1,19,4,23,504,> 100%
State,Kansas,All,2023-24,20,,6.1,6.5,0,31,2,33,506,> 100%
State,Kansas,All,2023-24,21,,4.2,4.4,0,22,1,23,521,> 100%
State,Kansas,All,2023-24,22,,4.3,4.5,1,22,1,24,533,> 100%
State,Kansas,All,2023-24,23,,3.8,4.3,1,21,3,25,584,> 100%
State,Kansas,All,2023-24,24,,5.1,5.3,0,26,1,27,506,> 100%
State,Kansas,All,2023-24,25,,3.5,3.9,0,17,2,19,492,> 100%
State,Kansas,All,2023-24,26,,3.9,4.7,0,21,5,25,536,> 100%
State,Kansas,All,2023-24,27,,5.4,5.4,0,29,3,29,539,> 100%
State,Kansas,All,2023-24,28,,4.2,4.6,0,21,4,23,501,> 100%
State,Kansas,All,2023-24,29,,5.5,5.9,0,29,2,31,523,> 100%
State,Kansas,All,2023-24,30,,5.2,5.6,0,28,3,30,538,> 100%
State,Kansas,All,2023-24,31,,4.2,5.2,0,22,7,27,518,> 100%
State,Kansas,All,2023-24,32,,5.4,6.9,0,29,11,37,534,> 100%
State,Kansas,All,2023-24,33,,4.9,5.4,0,26,5,29,534,> 100%
State,Kansas,All,2023-24,34,,6.6,7.6,0,33,11,38,500,> 100%
State,Kansas,All,2023-24,35,,3.6,5.8,0,19,14,31,530,> 100%
State,Kansas,All,2023-24,36,,4.9,5.8,1,24,8,30,513,> 100%
State,Kansas,All,2023-24,37,,5.4,6.8,0,31,14,39,570,> 100%
State,Kansas,All,2023-24,38,,5.9,7.8,0,32,12,42,539,> 100%
State,Kansas,All,2023-24,39,,4.2,6.1,0,22,14,32,528,> 100%
State,Kentucky,All,2023-24,40,,7.7,9.5,1,72,28,91,954,> 100%
State,Kentucky,All,2023-24,41,,8.1,10.6,1,81,38,107,"1,008",> 100%
State,Kentucky,All,2023-24,42,,6.7,9.1,0,67,32,91,"1,005",> 100%
State,Kentucky,All,2023-24,43,,7.2,9.2,0,74,28,95,"1,032",> 100%
State,Kentucky,All,2023-24,44,,7.2,8.5,1,72,17,86,"1,007",> 100%
State,Kentucky,All,2023-24,45,,6.8,8.6,1,72,32,93,"1,081",> 100%
State,Kentucky,All,2023-24,46,,7,9.2,0,71,41,94,"1,018",> 100%
State,Kentucky,All,2023-24,47,,8,10.3,1,79,42,102,994,> 100%
State,Kentucky,All,2023-24,48,,8.7,10.7,1,94,39,117,"1,089",> 100%
State,Kentucky,All,2023-24,49,,9.5,13.1,3,104,54,148,"1,131",> 100%
State,Kentucky,All,2023-24,50,,7.8,11.6,4,81,56,126,"1,087",> 100%
State,Kentucky,All,2023-24,51,,9.8,12.5,6,106,54,143,"1,144",> 100%
State,Kentucky,All,2023-24,52,,10.7,14.1,8,116,70,164,"1,164",> 100%
State,Kentucky,All,2023-24,1,,11.5,15.5,17,113,74,175,"1,126",> 100%
State,Kentucky,All,2023-24,2,,10.7,13.6,18,114,65,169,"1,239",> 100%
State,Kentucky,All,2023-24,3,,10.1,13.4,11,102,55,150,"1,120",> 100%
State,Kentucky,All,2023-24,4,,10.7,13.7,18,101,42,153,"1,116",> 100%
State,Kentucky,All,2023-24,5,,10.1,12,12,97,38,130,"1,080",> 100%
State,Kentucky,All,2023-24,6,,11.6,14.1,9,114,45,149,"1,056",> 100%
State,Kentucky,All,2023-24,7,,10.9,13,14,102,35,138,"1,060",> 100%
State,Kentucky,All,2023-24,8,,10,11.5,19,92,31,128,"1,109",> 100%
State,Kentucky,All,2023-24,9,,7.8,9.7,15,65,27,99,"1,024",> 100%
State,Kentucky,All,2023-24,10,,8.8,10.9,7,83,34,112,"1,024",> 100%
State,Kentucky,All,2023-24,11,,7.2,8.8,10,65,26,92,"1,042",> 100%
State,Kentucky,All,2023-24,12,,7.1,8.1,6,70,16,87,"1,068",> 100%
State,Kentucky,All,2023-24,13,,8.4,10.4,7,78,27,106,"1,017",> 100%
State,Kentucky,All,2023-24,14,,7.5,8.4,9,65,15,83,985,> 100%
State,Kentucky,All,2023-24,15,,8.7,9.7,8,81,20,99,"1,020",> 100%
State,Kentucky,All,2023-24,16,,6.6,7.7,2,63,14,76,988,> 100%
State,Kentucky,All,2023-24,17,,7.8,8.5,4,75,15,86,"1,007",> 100%
State,Kentucky,All,2023-24,18,,8,9.2,3,79,15,94,"1,022",> 100%
State,Kentucky,All,2023-24,19,,7.1,7.7,2,62,8,69,897,> 100%
State,Kentucky,All,2023-24,20,,6.7,7.1,0,65,7,69,967,> 100%
State,Kentucky,All,2023-24,21,,6.2,6.8,0,61,7,67,989,> 100%
State,Kentucky,All,2023-24,22,,6.1,7,0,54,9,62,892,> 100%
State,Kentucky,All,2023-24,23,,7.9,8.4,2,73,5,80,951,> 100%
State,Kentucky,All,2023-24,24,,6.5,6.9,0,60,10,64,927,> 100%
State,Kentucky,All,2023-24,25,,8.7,9.4,1,81,9,89,944,> 100%
State,Kentucky,All,2023-24,26,,4.6,6.2,0,45,15,60,973,> 100%
State,Kentucky,All,2023-24,27,,6.7,7.1,1,61,7,66,928,> 100%
State,Kentucky,All,2023-24,28,,6.4,7.3,1,61,13,71,966,> 100%
State,Kentucky,All,2023-24,29,,7,7.9,1,62,11,71,903,> 100%
State,Kentucky,All,2023-24,30,,6.5,7.1,0,65,16,71,995,> 100%
State,Kentucky,All,2023-24,31,,5.3,5.9,1,48,10,55,930,> 100%
State,Kentucky,All,2023-24,32,,5.9,6.8,0,56,15,65,955,> 100%
State,Kentucky,All,2023-24,33,,7.1,8.6,0,66,20,80,931,> 100%
State,Kentucky,All,2023-24,34,,7.9,9.8,0,73,26,91,925,> 100%
State,Kentucky,All,2023-24,35,,7.2,10.3,1,69,39,100,975,> 100%
State,Kentucky,All,2023-24,36,,7,9,0,66,28,84,938,> 100%
State,Kentucky,All,2023-24,37,,7.2,9.5,0,71,34,94,986,> 100%
State,Kentucky,All,2023-24,38,,7.3,8.3,0,66,19,75,906,> 100%
State,Kentucky,All,2023-24,39,,7.7,10.3,0,71,35,96,928,> 100%
State,Louisiana,All,2023-24,40,,4,5.1,0,37,12,47,922,> 100%
State,Louisiana,All,2023-24,41,,3.9,4.7,1,37,12,46,971,> 100%
State,Louisiana,All,2023-24,42,,2.6,3.8,2,21,15,34,888,> 100%
State,Louisiana,All,2023-24,43,,4,4.9,1,37,13,46,948,> 100%
State,Louisiana,All,2023-24,44,,4.4,5.5,3,38,12,51,925,> 100%
State,Louisiana,All,2023-24,45,,3.9,4.7,4,34,11,45,964,> 100%
State,Louisiana,All,2023-24,46,,4.9,5.8,1,44,9,53,918,> 100%
State,Louisiana,All,2023-24,47,,3.9,4.6,2,34,9,42,912,> 100%
State,Louisiana,All,2023-24,48,,4.7,5.6,7,40,15,56,"1,003",> 100%
State,Louisiana,All,2023-24,49,,5.4,6.7,6,49,21,68,"1,010",> 100%
State,Louisiana,All,2023-24,50,,5.3,6,6,46,12,59,990,> 100%
State,Louisiana,All,2023-24,51,,4.7,5.9,9,42,20,64,"1,090",> 100%
State,Louisiana,All,2023-24,52,,6.2,7.6,19,46,24,80,"1,049",> 100%
State,Louisiana,All,2023-24,1,,5.4,7.4,11,51,35,85,"1,153",> 100%
State,Louisiana,All,2023-24,2,,6.7,7.7,18,57,22,87,"1,123",> 100%
State,Louisiana,All,2023-24,3,,6.9,8.5,21,55,28,93,"1,100",> 100%
State,Louisiana,All,2023-24,4,,6.8,8.8,13,59,34,93,"1,056",> 100%
State,Louisiana,All,2023-24,5,,5.5,7.2,5,50,22,72,"1,001",> 100%
State,Louisiana,All,2023-24,6,,4.9,6.3,7,41,23,62,977,> 100%
State,Louisiana,All,2023-24,7,,5.2,6.6,4,48,24,66,995,> 100%
State,Louisiana,All,2023-24,8,,4.7,6.1,4,41,23,59,962,> 100%
State,Louisiana,All,2023-24,9,,3.4,4.9,3,29,19,46,943,> 100%
State,Louisiana,All,2023-24,10,,4.6,6,5,38,18,57,943,> 100%
State,Louisiana,All,2023-24,11,,3.8,4.8,0,37,14,47,971,> 100%
State,Louisiana,All,2023-24,12,,3.1,4.1,0,28,14,37,907,> 100%
State,Louisiana,All,2023-24,13,,5.1,5.8,1,46,14,54,926,> 100%
State,Louisiana,All,2023-24,14,,4.7,6.1,1,45,15,59,970,> 100%
State,Louisiana,All,2023-24,15,,4,4.5,1,34,10,40,886,> 100%
State,Louisiana,All,2023-24,16,,4,4.6,0,37,7,43,931,> 100%
State,Louisiana,All,2023-24,17,,3.9,4.3,1,36,7,41,946,> 100%
State,Louisiana,All,2023-24,18,,4.1,4.3,0,37,3,39,900,> 100%
State,Louisiana,All,2023-24,19,,3.3,3.5,0,30,3,32,910,> 100%
State,Louisiana,All,2023-24,20,,3.9,4,0,34,2,35,868,> 100%
State,Louisiana,All,2023-24,21,,4.3,4.3,0,37,2,37,864,> 100%
State,Louisiana,All,2023-24,22,,2.3,2.6,0,21,3,24,925,> 100%
State,Louisiana,All,2023-24,23,,3.3,3.3,0,29,3,29,892,> 100%
State,Louisiana,All,2023-24,24,,3.5,3.7,1,31,6,34,917,> 100%
State,Louisiana,All,2023-24,25,,3.3,3.4,0,28,3,29,842,> 100%
State,Louisiana,All,2023-24,26,,4,4,1,34,2,35,885,> 100%
State,Louisiana,All,2023-24,27,,2.9,2.9,0,27,1,27,937,> 100%
State,Louisiana,All,2023-24,28,,2.8,3,0,24,6,26,863,> 100%
State,Louisiana,All,2023-24,29,,2.4,3,0,21,7,26,881,> 100%
State,Louisiana,All,2023-24,30,,2.9,3.8,0,27,16,35,916,> 100%
State,Louisiana,All,2023-24,31,,3.7,5.2,0,35,19,49,950,> 100%
State,Louisiana,All,2023-24,32,,4.1,5,2,35,16,45,892,> 100%
State,Louisiana,All,2023-24,33,,3.8,5.7,0,35,23,52,912,> 100%
State,Louisiana,All,2023-24,34,,4.2,5.9,0,39,29,54,920,> 100%
State,Louisiana,All,2023-24,35,,3.8,4.5,0,35,12,41,914,> 100%
State,Louisiana,All,2023-24,36,,4.6,5.3,0,43,10,49,929,> 100%
State,Louisiana,All,2023-24,37,,4.5,5.4,0,41,12,49,904,> 100%
State,Louisiana,All,2023-24,38,,3.7,4,0,31,6,34,846,> 100%
State,Louisiana,All,2023-24,39,,3.3,4,1,30,9,37,930,> 100%
State,Maine,All,2023-24,40,,5.5,8.4,0,17,10,26,309,> 100%
State,Maine,All,2023-24,41,,7.3,9.3,0,23,7,29,313,> 100%
State,Maine,All,2023-24,42,,6.7,7.3,0,22,4,24,327,> 100%
State,Maine,All,2023-24,43,,6.3,8.6,0,22,9,30,348,> 100%
State,Maine,All,2023-24,44,,4.8,8,0,17,12,28,351,> 100%
State,Maine,All,2023-24,45,,4.8,8.1,0,16,11,27,333,> 100%
State,Maine,All,2023-24,46,,6.2,8.1,1,19,9,26,321,> 100%
State,Maine,All,2023-24,47,,5.5,8.8,0,18,13,29,330,> 100%
State,Maine,All,2023-24,48,,8.3,10.9,0,26,13,34,313,> 100%
State,Maine,All,2023-24,49,,6.3,8.5,0,22,12,30,352,> 100%
State,Maine,All,2023-24,50,,5.1,9.6,1,15,15,30,314,> 100%
State,Maine,All,2023-24,51,,8.2,11.8,1,30,22,45,380,> 100%
State,Maine,All,2023-24,52,,6.6,11,1,23,18,40,363,> 100%
State,Maine,All,2023-24,1,,8.9,12.5,3,29,15,45,359,> 100%
State,Maine,All,2023-24,2,,5.7,7.8,4,16,13,27,348,> 100%
State,Maine,All,2023-24,3,,8.8,12.3,2,28,21,42,342,> 100%
